entity_id,entity_name,segment,owner
DEA001,Dealer product scenario 1,Strategic,Customer
DEA002,Dealer product scenario 2,Watch,Operations
DEA003,Dealer product scenario 3,Strategic,Product
DEA004,Dealer product scenario 4,Growth,Analytics
DEA005,Dealer product scenario 5,Strategic,Revenue
DEA006,Dealer product scenario 6,Strategic,Operations
DEA007,Dealer product scenario 7,Core,Revenue
DEA008,Dealer product scenario 8,Watch,Analytics
DEA009,Dealer product scenario 9,Growth,Revenue
DEA010,Dealer product scenario 10,Watch,Analytics
DEA011,Dealer product scenario 11,Strategic,Product
DEA012,Dealer product scenario 12,Watch,Customer
DEA013,Dealer product scenario 13,Strategic,Customer
DEA014,Dealer product scenario 14,Growth,Operations
DEA015,Dealer product scenario 15,Core,Product
DEA016,Dealer product scenario 16,Strategic,Customer
DEA017,Dealer product scenario 17,Growth,Operations
DEA018,Dealer product scenario 18,Growth,Product
DEA019,Dealer product scenario 19,Growth,Analytics
DEA020,Dealer product scenario 20,Core,Analytics
DEA021,Dealer product scenario 21,Watch,Operations
DEA022,Dealer product scenario 22,Growth,Revenue
DEA023,Dealer product scenario 23,Growth,Operations
DEA024,Dealer product scenario 24,Core,Product
DEA025,Dealer product scenario 25,Core,Analytics
DEA026,Dealer product scenario 26,Watch,Customer
DEA027,Dealer product scenario 27,Core,Analytics
DEA028,Dealer product scenario 28,Growth,Product
DEA029,Dealer product scenario 29,Growth,Product
DEA030,Dealer product scenario 30,Strategic,Analytics
DEA031,Dealer product scenario 31,Watch,Analytics
DEA032,Dealer product scenario 32,Growth,Operations
DEA033,Dealer product scenario 33,Watch,Customer
DEA034,Dealer product scenario 34,Core,Operations
DEA035,Dealer product scenario 35,Core,Revenue
DEA036,Dealer product scenario 36,Core,Revenue
